"username","group","action","status","reason","timestamp"
"ECarter","Marketing-Users","remove","Success","Removed","5/15/2026 5:06:50 PM"
"DWright","Marketing-Users","remove","Success","Removed","5/15/2026 5:06:50 PM"
"SMitchell","Marketing-Users","remove","Success","Removed","5/15/2026 5:06:50 PM"
"ERamirez","Marketing-Users","remove","Success","Removed","5/15/2026 5:06:50 PM"
"OBennett","Marketing-Users","remove","Success","Removed","5/15/2026 5:06:50 PM"
"JFoster","Marketing-Users","add","Success","Added","5/15/2026 5:06:50 PM"
"MHoward","Marketing-Users","add","Success","Added","5/15/2026 5:06:50 PM"
"LTorres","Marketing-Users","add","Success","Added","5/15/2026 5:06:50 PM"
"AMurphy","Marketing-Users","add","Success","Added","5/15/2026 5:06:50 PM"
"NHughes","Marketing-Users","add","Success","Added","5/15/2026 5:06:50 PM"
