"username","status","reason","targetOU","disabled","moved","groupsRemoved","timestamp"
"ECarter","Success","Offboarded","OU=Disabled Users,DC=ryohei,DC=azlab","True","True","0","5/15/2026 7:02:14 PM"
"DWright","Success","Offboarded","OU=Disabled Users,DC=ryohei,DC=azlab","True","True","0","5/15/2026 7:02:14 PM"
"SMitchell","Success","Offboarded","OU=Disabled Users,DC=ryohei,DC=azlab","True","True","0","5/15/2026 7:02:14 PM"
"ERamirez","Success","Offboarded","OU=Disabled Users,DC=ryohei,DC=azlab","True","True","0","5/15/2026 7:02:14 PM"
"OBennett","Success","Offboarded","OU=Disabled Users,DC=ryohei,DC=azlab","True","True","0","5/15/2026 7:02:14 PM"
"JFoster","Success","Offboarded","OU=Disabled Users,DC=ryohei,DC=azlab","True","True","1","5/15/2026 7:02:14 PM"
"MHoward","Success","Offboarded","OU=Disabled Users,DC=ryohei,DC=azlab","True","True","1","5/15/2026 7:02:14 PM"
"LTorres","Success","Offboarded","OU=Disabled Users,DC=ryohei,DC=azlab","True","True","1","5/15/2026 7:02:14 PM"
"AMurphy","Success","Offboarded","OU=Disabled Users,DC=ryohei,DC=azlab","True","True","1","5/15/2026 7:02:14 PM"
"NHughes","Success","Offboarded","OU=Disabled Users,DC=ryohei,DC=azlab","True","True","1","5/15/2026 7:02:14 PM"
